date,deathIncrease,hospitalizedIncrease,positiveIncrease
20200306,0,0,0
20200307,0,0,0
20200308,0,0,0
20200309,0,0,0
20200310,0,0,0
20200311,0,0,3
20200312,0,0,2
20200313,0,0,5
20200314,0,0,0
20200315,0,0,3
20200316,0,0,4
20200317,0,0,6
20200318,0,0,5
20200319,0,0,7
20200320,0,0,8
20200321,0,0,14
20200322,0,0,0
20200323,0,0,8
20200324,0,0,18
20200325,1,0,17
20200326,0,0,12
20200327,0,0,24
20200328,0,0,55
20200329,1,0,46
20200330,0,0,0
20200331,2,0,44
20200401,1,0,34
20200402,1,0,48
20200403,1,0,40
20200404,3,0,92
20200405,1,0,48
20200406,1,0,81
20200407,0,0,62
20200408,1,0,108
20200409,3,0,71
20200410,3,0,226
20200411,0,0,0
20200412,1,0,83
20200413,6,0,71
20200414,5,181,100
20200415,5,0,62
20200416,0,34,77
20200417,8,15,113
20200418,7,12,114
20200419,2,16,87
20200420,2,16,47
20200421,3,17,126
20200422,7,15,101
20200423,6,25,138
20200424,7,36,169
20200425,6,45,142
20200426,9,0,139
20200427,6,0,66
20200428,5,69,97
20200429,6,28,151
20200430,2,27,239
20200501,11,0,198
20200502,8,51,102
20200503,8,0,219
20200504,12,0,118
20200505,5,80,181
20200506,6,20,107
20200507,7,0,153
20200508,3,73,202
20200509,9,29,180
20200510,10,0,105
20200511,9,0,85
20200512,8,97,206
20200513,11,0,143
20200514,12,0,152
20200515,11,0,139
20200516,11,0,159
20200517,6,0,195
20200518,6,0,81
20200519,5,0,158
20200520,6,253,96
20200521,7,0,125
20200522,11,0,155
20200523,8,0,153
20200524,6,0,170
20200525,9,104,148
20200526,3,21,83
20200527,5,18,104
20200528,4,0,122
20200529,6,35,112
20200530,9,0,129
20200531,7,0,131
20200601,5,0,65
20200602,6,0,111
20200603,5,99,224
20200604,8,0,116
20200605,8,0,213
20200606,4,73,319
20200607,5,0,128
20200608,4,44,140
20200609,4,25,122
20200610,4,25,43
20200611,6,0,145
20200612,16,42,276
20200613,0,0,0
20200614,5,0,95
20200615,4,0,102
20200616,5,61,122
20200617,7,12,88
20200618,5,17,132
20200619,4,11,88
20200620,8,9,107
20200621,5,11,305
20200622,0,0,0
20200623,0,8,129
20200624,7,22,144
20200625,4,17,152
20200626,5,18,202
20200627,4,17,216
20200628,2,23,211
20200629,1,14,190
20200630,1,11,173
20200701,4,26,165
20200702,3,26,129
20200703,3,17,244
20200704,8,25,256
20200705,2,18,287
20200706,0,18,193
20200707,2,27,251
20200708,4,23,220
20200709,8,45,290
20200710,6,36,234
20200711,6,24,298
20200712,4,26,224
20200713,2,17,255
20200714,3,23,263
20200715,3,34,223
20200716,6,23,327
20200717,5,28,297
20200718,3,25,318
20200719,4,27,280
20200720,2,23,235
20200721,7,12,244
20200722,10,34,302
20200723,3,37,311
20200724,5,30,335
20200725,5,25,312
20200726,6,17,313
20200727,7,18,254
20200728,5,30,460
20200729,7,24,289
20200730,6,29,345
20200731,3,24,252
20200801,7,19,212
20200802,9,17,196
20200803,3,17,220
20200804,1,10,114
20200805,3,23,210
20200806,9,28,226
20200807,2,22,207
20200808,6,16,192
20200809,6,19,150
20200810,4,13,200
20200811,5,19,129
20200812,3,27,199
20200813,2,10,173
20200814,2,21,171
20200815,6,18,173
20200816,8,11,142
20200817,3,8,106
20200818,4,19,92
20200819,5,14,79
20200820,6,4,170
20200821,5,7,202
20200822,5,9,144
20200823,4,12,207
20200824,2,1,94
20200825,2,10,73
20200826,3,9,66
20200827,5,24,197
20200828,9,17,188
20200829,3,15,122
20200830,2,10,136
20200831,1,10,105
20200901,9,8,69
20200902,8,17,108
20200903,3,8,152
20200904,1,10,200
20200905,3,2,90
20200906,6,0,146
20200907,3,15,59
20200908,4,9,37
20200909,0,7,37
20200910,6,17,87
20200911,3,19,161
20200912,2,9,134
